job_id,template,distance_angstrom,charge,multiplicity,method_line,nprocs,maxcore,stage,input_file,output_file
job-0001,ring,1.45,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0002,ring,1.45,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0003,ring,1.45,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0004,ring,1.6,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0005,ring,1.6,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0006,ring,1.6,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0007,ring,1.75,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0008,ring,1.75,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0009,ring,1.75,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0010,ring,1.9,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0011,ring,1.9,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0012,ring,1.9,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0013,ring,2.05,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0014,ring,2.05,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0015,ring,2.05,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0016,ring,2.2,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0017,ring,2.2,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0018,ring,2.2,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0019,trigonal_prism,1.45,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0020,trigonal_prism,1.45,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0021,trigonal_prism,1.45,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0022,trigonal_prism,1.6,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0023,trigonal_prism,1.6,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0024,trigonal_prism,1.6,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0025,trigonal_prism,1.75,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0026,trigonal_prism,1.75,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0027,trigonal_prism,1.75,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0028,trigonal_prism,1.9,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0029,trigonal_prism,1.9,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0030,trigonal_prism,1.9,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0031,trigonal_prism,2.05,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0032,trigonal_prism,2.05,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0033,trigonal_prism,2.05,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0034,trigonal_prism,2.2,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0035,trigonal_prism,2.2,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0036,trigonal_prism,2.2,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0037,octahedral_like,1.45,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0038,octahedral_like,1.45,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0039,octahedral_like,1.45,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0040,octahedral_like,1.6,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0041,octahedral_like,1.6,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0042,octahedral_like,1.6,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0043,octahedral_like,1.75,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0044,octahedral_like,1.75,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0045,octahedral_like,1.75,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0046,octahedral_like,1.9,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0047,octahedral_like,1.9,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0048,octahedral_like,1.9,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0049,octahedral_like,2.05,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0050,octahedral_like,2.05,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0051,octahedral_like,2.05,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0052,octahedral_like,2.2,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0053,octahedral_like,2.2,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0054,octahedral_like,2.2,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0055,pentagonal_pyramid,1.45,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0056,pentagonal_pyramid,1.45,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0057,pentagonal_pyramid,1.45,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0058,pentagonal_pyramid,1.6,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0059,pentagonal_pyramid,1.6,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0060,pentagonal_pyramid,1.6,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0061,pentagonal_pyramid,1.75,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0062,pentagonal_pyramid,1.75,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0063,pentagonal_pyramid,1.75,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0064,pentagonal_pyramid,1.9,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0065,pentagonal_pyramid,1.9,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0066,pentagonal_pyramid,1.9,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0067,pentagonal_pyramid,2.05,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0068,pentagonal_pyramid,2.05,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0069,pentagonal_pyramid,2.05,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0070,pentagonal_pyramid,2.2,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0071,pentagonal_pyramid,2.2,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0072,pentagonal_pyramid,2.2,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0073,distorted_prism_1,1.45,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0074,distorted_prism_1,1.45,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0075,distorted_prism_1,1.45,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0076,distorted_prism_1,1.6,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0077,distorted_prism_1,1.6,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0078,distorted_prism_1,1.6,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0079,distorted_prism_1,1.75,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0080,distorted_prism_1,1.75,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0081,distorted_prism_1,1.75,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0082,distorted_prism_1,1.9,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0083,distorted_prism_1,1.9,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0084,distorted_prism_1,1.9,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0085,distorted_prism_1,2.05,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0086,distorted_prism_1,2.05,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0087,distorted_prism_1,2.05,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0088,distorted_prism_1,2.2,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0089,distorted_prism_1,2.2,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0090,distorted_prism_1,2.2,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0091,distorted_octa_1,1.45,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0092,distorted_octa_1,1.45,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0093,distorted_octa_1,1.45,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0094,distorted_octa_1,1.6,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0095,distorted_octa_1,1.6,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0096,distorted_octa_1,1.6,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0097,distorted_octa_1,1.75,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0098,distorted_octa_1,1.75,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0099,distorted_octa_1,1.75,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0100,distorted_octa_1,1.9,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0101,distorted_octa_1,1.9,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0102,distorted_octa_1,1.9,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0103,distorted_octa_1,2.05,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0104,distorted_octa_1,2.05,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0105,distorted_octa_1,2.05,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0106,distorted_octa_1,2.2,0,1,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0107,distorted_octa_1,2.2,0,3,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
job-0108,distorted_octa_1,2.2,0,5,! r2SCAN-3c Opt TightSCF TightOpt,1,1500,1,input.inp,output.out
